stem,stratum,nasa_id,title,source_url,credit,prepared_file,prep
cernan-portrait,portrait,s64-31845,Portrait of Astronaut Eugene A Cernan,https://images.nasa.gov/details/s64-31845,NASA,assets/cernan-portrait.jpg,downloaded NASA medium derivative unchanged
mark-lee-portrait,portrait,S84-40242,Official Portrait Astronaut Mark C Lee,https://images.nasa.gov/details/S84-40242,NASA,assets/mark-lee-portrait.jpg,downloaded NASA medium derivative unchanged
marsha-ivins-portrait,portrait,s84-37915,Portrait Astronaut Marsha S Ivins,https://images.nasa.gov/details/s84-37915,NASA,assets/marsha-ivins-portrait.jpg,downloaded NASA medium derivative unchanged
james-lovell-portrait,portrait,S70-34268,Portrait Astronaut James A Lovell Jr,https://images.nasa.gov/details/S70-34268,NASA,assets/james-lovell-portrait.jpg,downloaded NASA medium derivative unchanged
apollo11-bootprint,texture,as11-40-5877,Apollo 11 bootprint on the lunar surface,https://images.nasa.gov/details/as11-40-5877,NASA,assets/apollo11-bootprint.jpg,downloaded NASA medium derivative unchanged
apollo12-lunar-mound,texture,AS12-46-6832,Apollo 12 lunar surface mound,https://images.nasa.gov/details/AS12-46-6832,NASA,assets/apollo12-lunar-mound.jpg,downloaded NASA medium derivative unchanged
daedalia-planum,texture,PIA15705,Daedalia Planum,https://images.nasa.gov/details/PIA15705,NASA JPL-Caltech University of Arizona,assets/daedalia-planum.jpg,downloaded NASA medium derivative unchanged
iani-chaos,texture,PIA17686,Iani Chaos,https://images.nasa.gov/details/PIA17686,NASA JPL-Caltech University of Arizona,assets/iani-chaos.jpg,downloaded NASA medium derivative unchanged
spacecraft-attitude-diagram,line-art,s64-03507,Diagrams of Spacecraft Responses to Orbit Attitude Control Thrust,https://images.nasa.gov/details/s64-03507,NASA,assets/spacecraft-attitude-diagram.jpg,downloaded NASA medium derivative unchanged
rcs-function-diagram,line-art,s64-03506,Diagrams of Spacecraft Reaction Control System Function,https://images.nasa.gov/details/s64-03506,NASA,assets/rcs-function-diagram.jpg,downloaded NASA medium derivative unchanged
rocket-systems-diagram,line-art,s64-05966,Diagram of Liquid Rocket Systems General Arrangement,https://images.nasa.gov/details/s64-05966,NASA,assets/rocket-systems-diagram.jpg,downloaded NASA medium derivative unchanged
reentry-communications-diagram,line-art,s64-04925,Re-entry communications experiment diagram,https://images.nasa.gov/details/s64-04925,NASA,assets/reentry-communications-diagram.jpg,downloaded NASA medium derivative unchanged
new-york-night,dark-scene,s36-39-014,STS-36 night Earth observation of New York City,https://images.nasa.gov/details/s36-39-014,NASA,assets/new-york-night.jpg,downloaded NASA medium derivative unchanged
earth-night-iss-090323,dark-scene,iss040e090323,Earth Observation,https://images.nasa.gov/details/iss040e090323,NASA,assets/earth-night-iss-090323.jpg,downloaded NASA medium derivative unchanged
earth-night-iss-091208,dark-scene,iss040e091208,Earth Observation,https://images.nasa.gov/details/iss040e091208,NASA,assets/earth-night-iss-091208.jpg,downloaded NASA medium derivative unchanged
san-francisco-night,dark-scene,iss040e090835,Earth Observation approaching San Francisco at night,https://images.nasa.gov/details/iss040e090835,NASA,assets/san-francisco-night.jpg,downloaded NASA medium derivative unchanged
aurora-expedition23,colorful,iss023e058455,Earth Observations taken by the Expedition 23 Crew,https://images.nasa.gov/details/iss023e058455,NASA,assets/aurora-expedition23.jpg,downloaded NASA medium derivative unchanged
aurora-sts62,colorful,sts062-58-025,Aurora Australis as seen from STS-62,https://images.nasa.gov/details/sts062-58-025,NASA,assets/aurora-sts62.jpg,downloaded NASA medium derivative unchanged
multicolor-aurora,colorful,iss074e0150531,A wispy multi-colored aurora created by a geomagnetic storm,https://images.nasa.gov/details/iss074e0150531,NASA,assets/multicolor-aurora.jpg,downloaded NASA medium derivative unchanged
calbuco-plume,colorful,calbucos-plume-over-chile_17126018810_o,Calbuco plume over Chile,https://images.nasa.gov/details/calbucos-plume-over-chile_17126018810_o,NASA,assets/calbuco-plume.jpg,downloaded NASA medium derivative unchanged
tarantula-spitzer-3color,diagnostic-false-color,PIA23647,Tarantula Nebula Spitzer 3-Color Image,https://images.nasa.gov/details/PIA23647,NASA JPL-Caltech,assets/tarantula-spitzer-3color.jpg,downloaded NASA medium derivative unchanged
infrared-color-explosion,diagnostic-false-color,PIA13449,An Explosion of Infrared Color,https://images.nasa.gov/details/PIA13449,NASA JPL-Caltech,assets/infrared-color-explosion.jpg,downloaded NASA medium derivative unchanged
saturn-infrared,diagnostic-false-color,PIA13405,Majestic Saturn in the Infrared,https://images.nasa.gov/details/PIA13405,NASA JPL-Caltech SSI,assets/saturn-infrared.jpg,downloaded NASA medium derivative unchanged
carina-cosmic-cliffs,diagnostic-false-color,carina_nebula,James Webb Space Telescope NIRCam Image of the Cosmic Cliffs in Carina Nebula,https://images.nasa.gov/details/carina_nebula,NASA ESA CSA STScI,assets/carina-cosmic-cliffs.jpg,downloaded NASA medium derivative unchanged
