corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA
nasa-steerable-v1,standard,P,,,80,2,24,1,8640,95,0.24362539684883766,0.2576376942063564,0.3063408789883635,0.20145823479310948,0.37160039924061944,0.009610199999999973,9a2a73d
nasa-steerable-v1,standard,F,,,80,2,24,1,8640,95,0.25403153488535557,0.30955725154743424,0.024781489559272767,0.2880854047178115,0.13414163476531754,0.0008127490000000761,9a2a73d
nasa-steerable-v1,standard,K,,12,80,2,24,1,8640,95,0.24362539684883766,0.2576376942063564,0.3063408789883635,0.20145823479310948,0.37160039924061944,0.006780327999999829,9a2a73d
nasa-steerable-v1,standard,K,,18,80,2,24,1,8640,95,0.24299065210252613,0.25680259037697295,0.3063425871175733,0.20060739638072184,0.3711897125901753,0.006502157999999955,9a2a73d
nasa-steerable-v1,standard,K,,24,80,2,24,1,8640,95,0.2422330601085987,0.2557385773525935,0.3063910512348319,0.2005797835937607,0.3709711800969973,0.0067606689999999536,9a2a73d
nasa-steerable-v1,standard,K,,36,80,2,24,1,8640,95,0.2401014356715577,0.2528005369356388,0.3062030881816718,0.20083792355783905,0.373161377851788,0.007373156999999924,9a2a73d
nasa-steerable-v1,standard,K,,48,80,2,24,1,8640,95,0.23921937190545864,0.2504782381931109,0.30587102121780174,0.2001474040427713,0.37683275987831444,0.007913532999999967,9a2a73d
nasa-steerable-v1,standard,K,,64,80,2,24,1,8640,95,0.2381544746119952,0.24839124984775499,0.30577020449663267,0.19870895255136634,0.3805743022723992,0.00892702699999985,9a2a73d
nasa-steerable-v1,standard,K,,95,80,2,24,1,8640,95,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.010971131999999833,9a2a73d
nasa-steerable-v1,braille,P,,,80,2,24,1,8640,256,0.2432413194396878,0.25694508527715854,0.3063549903651683,0.20387270244597022,0.38285501425027607,0.01936827099999971,9a2a73d
nasa-steerable-v1,braille,F,,,80,2,24,1,8640,256,0.24842850187005036,0.2942539734444042,0.031271342752259554,0.2739087217882606,0.16712444633925247,0.002327023999999879,9a2a73d
nasa-steerable-v1,braille,K,,12,80,2,24,1,8640,256,0.2432413194396878,0.25694508527715854,0.3063549903651683,0.20387270244597022,0.38285501425027607,0.014474266999999808,9a2a73d
nasa-steerable-v1,braille,K,,18,80,2,24,1,8640,256,0.24321344797892783,0.25689067130987586,0.3065831545769461,0.2038254101451727,0.38305786089555355,0.014730013999999713,9a2a73d
nasa-steerable-v1,braille,K,,24,80,2,24,1,8640,256,0.24331083717797347,0.25693790607523925,0.3067271295654132,0.20369944882636787,0.3845815495452444,0.014926905000000107,9a2a73d
nasa-steerable-v1,braille,K,,36,80,2,24,1,8640,256,0.2561789998494933,0.31488883940307477,0.007474751859020309,0.3107931400740793,0.1340855688382849,0.015924501999999462,9a2a73d
nasa-steerable-v1,braille,K,,48,80,2,24,1,8640,256,0.2627731027762486,0.3295949168758602,0.005507604428389844,0.32999303642104055,0.10286507393039494,0.016338089999999986,9a2a73d
nasa-steerable-v1,braille,K,,64,80,2,24,1,8640,256,0.2627550432254654,0.32959434542563604,0.005687522661129623,0.33015751899710316,0.1029382841101628,0.01746407500000039,9a2a73d
nasa-steerable-v1,braille,K,,128,80,2,24,1,8640,256,0.2700938451089856,0.34404072155386545,0.005113815423522539,0.344445631338502,0.08375763458394313,0.02210142699999977,9a2a73d
nasa-steerable-v1,braille,K,,256,80,2,24,1,8640,256,0.2779765047043136,0.3568990765705086,0.004149641092154084,0.35528838362502513,0.0800460274969595,0.02990487800000032,9a2a73d
