# Selection optimality gap
charset | oracle | os | cells | glyphs | poolW | prod | optPool | optGlobal | toneOnly | meanRank | totalGap% | rankGap% | poolGap% | exactOpt% | optInPool%
blocks | gmsd | 2 | 8640 | 8 | 8.0 | 0.33993 | 0.16435 | 0.16435 | 0.20452 | 3.75 | 51.65 | 51.65 | 0.00 | 0.9 | 100.0
blocks | haarPSI | 2 | 8640 | 8 | 8.0 | 0.09480 | 0.40517 | 0.40517 | 0.37907 | 2.53 | 327.38 | 327.38 | 0.00 | 17.2 | 100.0
blocks | mae | 2 | 8640 | 8 | 8.0 | 0.56329 | 0.21528 | 0.21528 | 0.26391 | 7.22 | 61.78 | 61.78 | 0.00 | 0.0 | 100.0
blocks | rmse | 2 | 8640 | 8 | 8.0 | 0.63874 | 0.22905 | 0.22905 | 0.28817 | 7.21 | 64.14 | 64.14 | 0.00 | 2.7 | 100.0
blocks | ssim | 2 | 8640 | 8 | 8.0 | 0.00214 | 0.31826 | 0.31826 | 0.30584 | 5.73 | 14777.78 | 14777.78 | 0.00 | 4.9 | 100.0
diagonal | gmsd | 2 | 8640 | 4 | 4.0 | 0.17013 | 0.16843 | 0.16843 | 0.20167 | 1.24 | 1.00 | 1.00 | 0.00 | 86.5 | 100.0
diagonal | haarPSI | 2 | 8640 | 4 | 4.0 | 0.38046 | 0.39380 | 0.39380 | 0.38633 | 2.02 | 3.51 | 3.51 | 0.00 | 57.0 | 100.0
diagonal | mae | 2 | 8640 | 4 | 4.0 | 0.24754 | 0.23655 | 0.23655 | 0.24770 | 1.99 | 4.44 | 4.44 | 0.00 | 65.6 | 100.0
diagonal | rmse | 2 | 8640 | 4 | 4.0 | 0.25238 | 0.24493 | 0.24493 | 0.26068 | 1.87 | 2.95 | 2.95 | 0.00 | 69.1 | 100.0
diagonal | ssim | 2 | 8640 | 4 | 4.0 | 0.30301 | 0.31593 | 0.31593 | 0.30660 | 2.26 | 4.26 | 4.26 | 0.00 | 47.4 | 100.0
diamond | gmsd | 2 | 8640 | 4 | 4.0 | 0.17013 | 0.16896 | 0.16896 | 0.20551 | 1.19 | 0.68 | 0.68 | 0.00 | 91.2 | 100.0
diamond | haarPSI | 2 | 8640 | 4 | 4.0 | 0.38046 | 0.38811 | 0.38811 | 0.36999 | 1.66 | 2.01 | 2.01 | 0.00 | 76.2 | 100.0
diamond | mae | 2 | 8640 | 4 | 4.0 | 0.24754 | 0.23776 | 0.23776 | 0.24650 | 1.80 | 3.95 | 3.95 | 0.00 | 67.2 | 100.0
diamond | rmse | 2 | 8640 | 4 | 4.0 | 0.25238 | 0.24560 | 0.24560 | 0.26069 | 1.69 | 2.69 | 2.69 | 0.00 | 71.4 | 100.0
diamond | ssim | 2 | 8640 | 4 | 4.0 | 0.30301 | 0.31511 | 0.31511 | 0.30571 | 2.12 | 3.99 | 3.99 | 0.00 | 58.9 | 100.0
cross | gmsd | 2 | 8640 | 5 | 5.0 | 0.17013 | 0.16790 | 0.16790 | 0.19809 | 1.48 | 1.31 | 1.31 | 0.00 | 78.6 | 100.0
cross | haarPSI | 2 | 8640 | 5 | 5.0 | 0.38046 | 0.39005 | 0.39005 | 0.37780 | 2.08 | 2.52 | 2.52 | 0.00 | 66.3 | 100.0
cross | mae | 2 | 8640 | 5 | 5.0 | 0.24754 | 0.23796 | 0.23796 | 0.24493 | 2.35 | 3.87 | 3.87 | 0.00 | 63.4 | 100.0
cross | rmse | 2 | 8640 | 5 | 5.0 | 0.25238 | 0.24572 | 0.24572 | 0.25730 | 2.19 | 2.64 | 2.64 | 0.00 | 67.3 | 100.0
cross | ssim | 2 | 8640 | 5 | 5.0 | 0.30301 | 0.31658 | 0.31658 | 0.30625 | 2.61 | 4.48 | 4.48 | 0.00 | 51.3 | 100.0
dots | gmsd | 2 | 8640 | 8 | 8.0 | 0.17013 | 0.16848 | 0.16848 | 0.29484 | 1.50 | 0.97 | 0.97 | 0.00 | 83.6 | 100.0
dots | haarPSI | 2 | 8640 | 8 | 8.0 | 0.38046 | 0.39217 | 0.39217 | 0.11704 | 3.50 | 3.08 | 3.08 | 0.00 | 49.6 | 100.0
dots | mae | 2 | 8640 | 8 | 8.0 | 0.24754 | 0.23476 | 0.23476 | 0.25830 | 3.18 | 5.16 | 5.16 | 0.00 | 61.3 | 100.0
dots | rmse | 2 | 8640 | 8 | 8.0 | 0.25238 | 0.24304 | 0.24304 | 0.32171 | 2.92 | 3.70 | 3.70 | 0.00 | 65.4 | 100.0
dots | ssim | 2 | 8640 | 8 | 8.0 | 0.30301 | 0.31898 | 0.31898 | 0.00764 | 4.01 | 5.27 | 5.27 | 0.00 | 44.4 | 100.0
minimal | gmsd | 2 | 8640 | 10 | 10.0 | 0.17013 | 0.16631 | 0.16631 | 0.20502 | 2.05 | 2.24 | 2.24 | 0.00 | 73.3 | 100.0
minimal | haarPSI | 2 | 8640 | 10 | 10.0 | 0.38046 | 0.39298 | 0.39298 | 0.37123 | 3.66 | 3.29 | 3.29 | 0.00 | 51.9 | 100.0
minimal | mae | 2 | 8640 | 10 | 10.0 | 0.24754 | 0.23406 | 0.23406 | 0.24411 | 3.98 | 5.45 | 5.45 | 0.00 | 64.1 | 100.0
minimal | rmse | 2 | 8640 | 10 | 10.0 | 0.25238 | 0.24301 | 0.24301 | 0.26266 | 3.65 | 3.71 | 3.71 | 0.00 | 67.5 | 100.0
minimal | ssim | 2 | 8640 | 10 | 10.0 | 0.30301 | 0.31896 | 0.31896 | 0.30138 | 4.68 | 5.26 | 5.26 | 0.00 | 46.9 | 100.0
lines | gmsd | 2 | 8640 | 12 | 12.0 | 0.34714 | 0.16435 | 0.16435 | 0.20131 | 6.95 | 52.66 | 52.66 | 0.00 | 6.0 | 100.0
lines | haarPSI | 2 | 8640 | 12 | 12.0 | 0.09751 | 0.39923 | 0.39923 | 0.38087 | 6.97 | 309.44 | 309.44 | 0.00 | 0.3 | 100.0
lines | mae | 2 | 8640 | 12 | 12.0 | 0.29974 | 0.23584 | 0.23584 | 0.24384 | 8.01 | 21.32 | 21.32 | 0.00 | 0.6 | 100.0
lines | rmse | 2 | 8640 | 12 | 12.0 | 0.39350 | 0.24499 | 0.24499 | 0.25844 | 7.81 | 37.74 | 37.74 | 0.00 | 0.5 | 100.0
lines | ssim | 2 | 8640 | 12 | 12.0 | 0.00336 | 0.32627 | 0.32627 | 0.30627 | 7.43 | 9623.34 | 9623.34 | 0.00 | 4.7 | 100.0
mixed | gmsd | 2 | 8640 | 12 | 12.0 | 0.32890 | 0.16597 | 0.16597 | 0.29817 | 5.51 | 49.54 | 49.54 | 0.00 | 18.8 | 100.0
mixed | haarPSI | 2 | 8640 | 12 | 12.0 | 0.11230 | 0.39685 | 0.39685 | 0.10365 | 4.22 | 253.38 | 253.38 | 0.00 | 30.7 | 100.0
mixed | mae | 2 | 8640 | 12 | 12.0 | 0.28949 | 0.23434 | 0.23434 | 0.26287 | 7.54 | 19.05 | 19.05 | 0.00 | 0.5 | 100.0
mixed | rmse | 2 | 8640 | 12 | 12.0 | 0.37707 | 0.24237 | 0.24237 | 0.33083 | 7.91 | 35.72 | 35.72 | 0.00 | 0.3 | 100.0
mixed | ssim | 2 | 8640 | 12 | 12.0 | 0.00369 | 0.32173 | 0.32173 | 0.00622 | 7.16 | 8620.99 | 8620.99 | 0.00 | 10.7 | 100.0
standard | gmsd | 2 | 8640 | 95 | 12.0 | 0.20146 | 0.19691 | 0.16377 | 0.28809 | 24.79 | 18.71 | 2.26 | 16.45 | 38.8 | 41.5
standard | haarPSI | 2 | 8640 | 95 | 12.0 | 0.37160 | 0.38723 | 0.39937 | 0.13414 | 33.59 | 7.47 | 4.21 | 3.27 | 37.0 | 46.7
standard | mae | 2 | 8640 | 95 | 12.0 | 0.24363 | 0.23916 | 0.23222 | 0.25403 | 20.65 | 4.68 | 1.83 | 2.85 | 38.0 | 43.6
standard | rmse | 2 | 8640 | 95 | 12.0 | 0.25764 | 0.25355 | 0.24222 | 0.30956 | 18.96 | 5.98 | 1.59 | 4.40 | 37.8 | 38.7
standard | ssim | 2 | 8640 | 95 | 12.0 | 0.30634 | 0.31948 | 0.32758 | 0.02478 | 30.26 | 6.93 | 4.29 | 2.64 | 36.8 | 45.7
braille | gmsd | 2 | 8640 | 256 | 12.0 | 0.20387 | 0.19870 | 0.16515 | 0.27391 | 90.29 | 18.99 | 2.54 | 16.46 | 35.4 | 37.3
braille | haarPSI | 2 | 8640 | 256 | 12.0 | 0.38286 | 0.38978 | 0.40597 | 0.16712 | 87.91 | 6.04 | 1.81 | 4.23 | 34.8 | 37.8
braille | mae | 2 | 8640 | 256 | 12.0 | 0.24324 | 0.24118 | 0.23453 | 0.24843 | 42.49 | 3.58 | 0.85 | 2.73 | 35.4 | 35.6
braille | rmse | 2 | 8640 | 256 | 12.0 | 0.25695 | 0.25417 | 0.24361 | 0.29425 | 41.19 | 5.19 | 1.08 | 4.11 | 35.5 | 35.7
braille | ssim | 2 | 8640 | 256 | 12.0 | 0.30635 | 0.31737 | 0.32859 | 0.03127 | 81.59 | 7.26 | 3.60 | 3.66 | 35.5 | 39.2

