queryPolarity,corpus,charset,oracle,cells,glyphs,productionMean,faithfulMean,improvementPercent,differingPickPercent,productionMeanInkDelta,faithfulMeanInkDelta,maxInkDelta
inverted,nasa-steerable-v1,blocks,gmsd,8640,8,0.2952290320157904,0.29524250427411175,-0.00456332435510698,0.1736111111111111,0.5978856493236014,0.5972909660251052,0.8431504964828491
inverted,nasa-steerable-v1,blocks,haarPSI,8640,8,0.15399115385202494,0.15395259087229257,-0.02504233442488973,0.1736111111111111,0.5978856493236014,0.5972909660251052,0.8431504964828491
inverted,nasa-steerable-v1,blocks,mae,8640,8,0.6665135839610707,0.6662585700827126,0.03826086736936321,0.1736111111111111,0.5978856493236014,0.5972909660251052,0.8431504964828491
inverted,nasa-steerable-v1,blocks,rmse,8640,8,0.7040129333382779,0.703822333159878,0.027073391606047086,0.1736111111111111,0.5978856493236014,0.5972909660251052,0.8431504964828491
inverted,nasa-steerable-v1,blocks,ssim,8640,8,0.003952600695938747,0.003971729368519016,0.4839515562480947,0.1736111111111111,0.5978856493236014,0.5972909660251052,0.8431504964828491
inverted,nasa-steerable-v1,standard,gmsd,8640,95,0.2080085033775799,0.20407254385704257,1.8922108743759942,41.64351851851852,0.17167780533076168,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,haarPSI,8640,95,0.378084548937283,0.3752431259745068,-0.7515310982061614,41.64351851851852,0.17167780533076168,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,mae,8640,95,0.22860207387545453,0.23120581103836765,-1.1389823017667255,41.64351851851852,0.17167780533076168,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,rmse,8640,95,0.24234734781524578,0.25214344808630623,-4.042173499884364,41.64351851851852,0.17167780533076168,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,ssim,8640,95,0.30793198766555757,0.3065775237335318,-0.4398581460451697,41.64351851851852,0.17167780533076168,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,braille,gmsd,8640,256,0.21197723564371274,0.31057391602409345,-46.512862610445644,96.59722222222223,0.1278743714697258,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,haarPSI,8640,256,0.38143283709825726,0.09003850364253249,-76.3946637820963,96.59722222222223,0.1278743714697258,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,mae,8640,256,0.23845821354980407,0.2535512521084147,-6.329427002713977,96.59722222222223,0.1278743714697258,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,rmse,8640,256,0.26161702397361497,0.32468207262931187,-24.10586577961274,96.59722222222223,0.1278743714697258,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,ssim,8640,256,0.3059013900294951,0.020667095046608273,-93.2438701750863,96.59722222222223,0.1278743714697258,0.14028928806030846,0.37615692615509033
inverted,nasa-occupancy-v1,blocks,gmsd,66880,8,0.2594263081465751,0.26119908906390304,-0.6833466235530552,7.538875598086124,0.5805978894719417,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,haarPSI,66880,8,0.235424924328959,0.2322973761182467,-1.3284694556563588,7.538875598086124,0.5805978894719417,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,mae,66880,8,0.657143365562317,0.6648054085334804,-1.1659621587455193,7.538875598086124,0.5805978894719417,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,rmse,66880,8,0.6963953876287048,0.7042685059485227,-1.1305529099821738,7.538875598086124,0.5805978894719417,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,ssim,66880,8,0.004986492298910015,-0.0009216994606490755,-118.4839242778044,7.538875598086124,0.5805978894719417,0.5812156905999416,1
inverted,nasa-occupancy-v1,standard,gmsd,66880,95,0.2988923626963773,0.3088380413584952,-3.3275118080621398,55.85974880382775,0.3134617995902848,0.31034349912807185,0.7798511385917664
inverted,nasa-occupancy-v1,standard,haarPSI,66880,95,0.1831964237047793,0.18402236410751613,0.4508496323420825,55.85974880382775,0.3134617995902848,0.31034349912807185,0.7798511385917664
inverted,nasa-occupancy-v1,standard,mae,66880,95,0.36692187761270023,0.37315835531473807,-1.699674530887654,55.85974880382775,0.3134617995902848,0.31034349912807185,0.7798511385917664
inverted,nasa-occupancy-v1,standard,rmse,66880,95,0.39921846866470423,0.4190000961973649,-4.955088275055446,55.85974880382775,0.3134617995902848,0.31034349912807185,0.7798511385917664
inverted,nasa-occupancy-v1,standard,ssim,66880,95,0.10428802944526706,0.0975622880500399,-6.4491978906908,55.85974880382775,0.3134617995902848,0.31034349912807185,0.7798511385917664
inverted,nasa-occupancy-v1,braille,gmsd,66880,256,0.2541943823205649,0.26374513916584164,-3.7572651126617966,78.58851674641149,0.24552465457407519,0.24100110228191032,0.7131074666976929
inverted,nasa-occupancy-v1,braille,haarPSI,66880,256,0.18462117242948778,0.1363577140218004,-26.141887072091148,78.58851674641149,0.24552465457407519,0.24100110228191032,0.7131074666976929
inverted,nasa-occupancy-v1,braille,mae,66880,256,0.3528513540443912,0.35135082337918816,0.42525858212075385,78.58851674641149,0.24552465457407519,0.24100110228191032,0.7131074666976929
inverted,nasa-occupancy-v1,braille,rmse,66880,256,0.41103283158748705,0.4188495830167644,-1.9017340778077423,78.58851674641149,0.24552465457407519,0.24100110228191032,0.7131074666976929
inverted,nasa-occupancy-v1,braille,ssim,66880,256,0.10052253227527076,0.06335469179413845,-36.97463607398185,78.58851674641149,0.24552465457407519,0.24100110228191032,0.7131074666976929
