corpus,fixture,nativeW,nativeH,thumbW,thumbH,gridRows,gridCols,thumbCellW,thumbCellH,thumbCellWindows,nativeBlockMinW,nativeBlockMaxW,nativeBlockMinH,nativeBlockMaxH,meanLiveBins,cells
nasa-steerable-v1,earth-limb-sunrise,3072,3072,160,160,36,80,2,4,2,38,39,76,77,3,2880
nasa-steerable-v1,sahara-dunes,3072,3072,160,160,36,80,2,4,2,38,39,76,77,3,2880
nasa-steerable-v1,vavilov-crater,3072,3072,160,160,36,80,2,4,2,38,39,76,77,3,2880
nasa-occupancy-v1,apollo11-bootprint,1280,1280,160,160,36,80,2,4,2,16,16,32,32,3,2880
nasa-occupancy-v1,apollo12-lunar-mound,1280,1241,160,155,35,80,2,4,2,16,16,32,32,3,2800
nasa-occupancy-v1,aurora-expedition23,1280,876,160,110,24,80,2,4,2,16,16,31,32,2.9973958333333335,1920
nasa-occupancy-v1,aurora-sts62,1280,844,160,106,23,80,2,4,2,16,16,31,32,2.9918478260869565,1840
nasa-occupancy-v1,calbuco-plume,1280,1150,160,144,32,80,2,4,2,16,16,31,32,2.999609375,2560
nasa-occupancy-v1,carina-cosmic-cliffs,1280,741,160,92,21,80,2,4,2,16,16,32,33,3,1680
nasa-occupancy-v1,cernan-portrait,1026,1280,160,200,45,80,2,4,2,12,13,25,26,2.9988888888888887,3600
nasa-occupancy-v1,daedalia-planum,578,1280,160,355,80,80,2,4,2,7,8,14,15,2.99984375,6400
nasa-occupancy-v1,earth-night-iss-090323,1280,851,160,106,24,80,2,4,2,16,16,32,33,3,1920
nasa-occupancy-v1,earth-night-iss-091208,1280,851,160,106,24,80,2,4,2,16,16,32,33,3,1920
nasa-occupancy-v1,iani-chaos,600,1280,160,342,77,80,2,4,2,7,8,14,15,3,6160
nasa-occupancy-v1,infrared-color-explosion,1280,1280,160,160,36,80,2,4,2,16,16,32,32,2.999652777777778,2880
nasa-occupancy-v1,james-lovell-portrait,975,1280,160,211,47,80,2,4,2,12,13,24,25,2.2218085106382977,3760
nasa-occupancy-v1,mark-lee-portrait,1029,1280,161,200,45,80,2,4,2,12,13,25,26,2.99,3600
nasa-occupancy-v1,marsha-ivins-portrait,1016,1280,160,202,45,80,2,4,2,12,13,25,26,2.9955555555555557,3600
nasa-occupancy-v1,multicolor-aurora,1280,853,160,106,24,80,2,4,2,16,16,32,33,3,1920
nasa-occupancy-v1,new-york-night,1280,834,160,104,23,80,2,4,2,16,16,32,33,3,1840
nasa-occupancy-v1,rcs-function-diagram,1280,1024,160,128,29,80,2,4,2,16,16,32,32,0.33405172413793105,2320
nasa-occupancy-v1,reentry-communications-diagram,1029,1280,161,200,45,80,2,4,2,12,13,25,26,0.57,3600
nasa-occupancy-v1,rocket-systems-diagram,1280,1024,160,128,29,80,2,4,2,16,16,32,32,0.6922413793103448,2320
nasa-occupancy-v1,san-francisco-night,1280,851,160,106,24,80,2,4,2,16,16,32,33,2.9994791666666667,1920
nasa-occupancy-v1,saturn-infrared,1280,690,160,86,19,80,2,4,2,16,16,32,33,3,1520
nasa-occupancy-v1,spacecraft-attitude-diagram,1280,1024,160,128,29,80,2,4,2,16,16,32,32,0.45517241379310347,2320
nasa-occupancy-v1,tarantula-spitzer-3color,1280,720,160,90,20,80,2,4,2,16,16,32,32,3,1600
