corpus,charset,polarity,oracle,cells,glyphs,mean
nasa-steerable-v1,blocks,inverted,mae,8640,8,0.6665135839610707
nasa-steerable-v1,blocks,inverted,gmsd,8640,8,0.2952290320157904
nasa-steerable-v1,blocks,inverted,ssim,8640,8,0.003952600695938747
nasa-steerable-v1,blocks,inverted,haarPSI,8640,8,0.15399115385202494
nasa-steerable-v1,blocks,direct,mae,8640,8,0.35330352820001604
nasa-steerable-v1,blocks,direct,gmsd,8640,8,0.18781353931626305
nasa-steerable-v1,blocks,direct,ssim,8640,8,0.30672613109784036
nasa-steerable-v1,blocks,direct,haarPSI,8640,8,0.45344690489819744
nasa-steerable-v1,standard,inverted,mae,8640,95,0.22860207387545453
nasa-steerable-v1,standard,inverted,gmsd,8640,95,0.2080085033775799
nasa-steerable-v1,standard,inverted,ssim,8640,95,0.30793198766555757
nasa-steerable-v1,standard,inverted,haarPSI,8640,95,0.378084548937283
nasa-steerable-v1,standard,direct,mae,8640,95,0.22861576229437147
nasa-steerable-v1,standard,direct,gmsd,8640,95,0.2079952197056254
nasa-steerable-v1,standard,direct,ssim,8640,95,0.30791291030427004
nasa-steerable-v1,standard,direct,haarPSI,8640,95,0.37809185183896377
nasa-steerable-v1,braille,inverted,mae,8640,256,0.23845821354980407
nasa-steerable-v1,braille,inverted,gmsd,8640,256,0.21197723564371274
nasa-steerable-v1,braille,inverted,ssim,8640,256,0.3059013900294951
nasa-steerable-v1,braille,inverted,haarPSI,8640,256,0.38143283709825726
nasa-steerable-v1,braille,direct,mae,8640,256,0.23794260403219317
nasa-steerable-v1,braille,direct,gmsd,8640,256,0.21208074644627026
nasa-steerable-v1,braille,direct,ssim,8640,256,0.3083602978022175
nasa-steerable-v1,braille,direct,haarPSI,8640,256,0.3814924769630916
nasa-occupancy-v1,blocks,inverted,mae,66880,8,0.657143365562317
nasa-occupancy-v1,blocks,inverted,gmsd,66880,8,0.2594263081465751
nasa-occupancy-v1,blocks,inverted,ssim,66880,8,0.004986492298910015
nasa-occupancy-v1,blocks,inverted,haarPSI,66880,8,0.235424924328959
nasa-occupancy-v1,blocks,direct,mae,66880,8,0.3956360526641596
nasa-occupancy-v1,blocks,direct,gmsd,66880,8,0.25575166852170567
nasa-occupancy-v1,blocks,direct,ssim,66880,8,0.1033886413909344
nasa-occupancy-v1,blocks,direct,haarPSI,66880,8,0.29171427073995976
nasa-occupancy-v1,standard,inverted,mae,66880,95,0.36692187761270023
nasa-occupancy-v1,standard,inverted,gmsd,66880,95,0.2988923626963773
nasa-occupancy-v1,standard,inverted,ssim,66880,95,0.10428802944526706
nasa-occupancy-v1,standard,inverted,haarPSI,66880,95,0.1831964237047793
nasa-occupancy-v1,standard,direct,mae,66880,95,0.3669280642803352
nasa-occupancy-v1,standard,direct,gmsd,66880,95,0.29890753459872327
nasa-occupancy-v1,standard,direct,ssim,66880,95,0.10439154753239717
nasa-occupancy-v1,standard,direct,haarPSI,66880,95,0.18316468891574927
nasa-occupancy-v1,braille,inverted,mae,66880,256,0.3528513540443912
nasa-occupancy-v1,braille,inverted,gmsd,66880,256,0.2541943823205649
nasa-occupancy-v1,braille,inverted,ssim,66880,256,0.10052253227527076
nasa-occupancy-v1,braille,inverted,haarPSI,66880,256,0.18462117242948778
nasa-occupancy-v1,braille,direct,mae,66880,256,0.36436547839854133
nasa-occupancy-v1,braille,direct,gmsd,66880,256,0.2986719681193297
nasa-occupancy-v1,braille,direct,ssim,66880,256,0.10211599985469236
nasa-occupancy-v1,braille,direct,haarPSI,66880,256,0.18543496640745724
