corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,blocks,P,,,80,2,24,1,8640,8,0.563292565467233,0.6387445020816767,0.002139179498018606,0.3399343193526033,0.09480315921555167,0.001581577999999918,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,F,,,80,2,24,1,8640,8,0.2639131023957673,0.2881747440165943,0.3058391493051095,0.20451693852787306,0.37906643823788705,0.00011177399999999479,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,F_legacy,,,80,2,24,1,8640,8,0.2463687174832357,0.2637686953310495,0.3056769936845981,0.20278407560613962,0.3867344115083863,0.00013839999999999634,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,0,,80,2,24,1,8640,8,0.563292565467233,0.6387445020816767,0.002139179498018606,0.3399343193526033,0.09480315921555167,0.003131828999999697,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,1,,80,2,24,1,8640,8,0.23653721320579252,0.2684089071471168,0.30474790352783204,0.20075251396173413,0.3777663201031989,0.002608042999999733,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,2,,80,2,24,1,8640,8,0.2358008784113979,0.2669360726124691,0.3055763866612512,0.19998645445013397,0.3787558135318377,0.002525588999999763,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,5,,80,2,24,1,8640,8,0.23976948378264543,0.26923489443566495,0.30597429544904314,0.19999449872534544,0.37917198551820935,0.002522266999999779,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,10,,80,2,24,1,8640,8,0.24468102715548187,0.2726108827020448,0.3060356013733024,0.20080749791937816,0.37939266353789214,0.002501832999999788,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,25,,80,2,24,1,8640,8,0.24847891826521284,0.27528094324913255,0.3059071224387132,0.2013098344702341,0.37977348286140766,0.002496000999999782,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,T,50,,80,2,24,1,8640,8,0.25032362187811774,0.2765870469742899,0.3059594561261818,0.2015362575015145,0.3800373912418707,0.0024667819999997995,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,lex,,2,80,2,24,1,8640,8,0.5128747623429455,0.5983613516985469,0.002237220054457071,0.36770251752332206,0.06420763261547094,0.0029146269999996643,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,lex,,3,80,2,24,1,8640,8,0.30399938297196605,0.3984203081416991,0.0032317293887073914,0.3645932424118884,0.0784316342748979,0.002487975999999792,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,lex,,4,80,2,24,1,8640,8,0.2964719705184072,0.39548206639817357,0.003648826247404168,0.36021510798848055,0.06770458362804387,0.0024667919999997994,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,lex,,6,80,2,24,1,8640,8,0.2469002198702632,0.275904981045977,0.30594639519984007,0.20223897732498258,0.3780412785995155,0.002695346999999693,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,znorm,0,,80,2,24,1,8640,8,0.563292565467233,0.6387445020816767,0.002139179498018606,0.3399343193526033,0.09480315921555167,0.0023273359999998813,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
