# Selection optimality gap
charset | oracle | os | cells | glyphs | poolW | prod | optPool | optGlobal | toneOnly | meanRank | totalGap% | rankGap% | poolGap% | exactOpt% | optInPool%
blocks | gmsd | 2 | 8640 | 8 | 8.0 | 0.29826 | 0.17392 | 0.17392 | 0.30102 | 3.41 | 41.69 | 41.69 | 0.00 | 1.2 | 100.0
blocks | haarPSI | 2 | 8640 | 8 | 8.0 | 0.08232 | 0.18128 | 0.18128 | 0.13014 | 3.91 | 120.22 | 120.22 | 0.00 | 3.9 | 100.0
blocks | mae | 2 | 8640 | 8 | 8.0 | 0.56255 | 0.21722 | 0.21722 | 0.30510 | 7.23 | 61.39 | 61.39 | 0.00 | 6.1 | 100.0
blocks | rmse | 2 | 8640 | 8 | 8.0 | 0.64425 | 0.24268 | 0.24268 | 0.38247 | 7.21 | 62.33 | 62.33 | 0.00 | 7.5 | 100.0
blocks | ssim | 2 | 8640 | 8 | 8.0 | 0.00248 | 0.07727 | 0.07727 | 0.04512 | 5.34 | 3011.73 | 3011.73 | 0.00 | 3.2 | 100.0
standard | gmsd | 2 | 8640 | 95 | 12.0 | 0.24240 | 0.23295 | 0.17217 | 0.28266 | 24.24 | 28.97 | 3.90 | 25.07 | 23.6 | 26.6
standard | haarPSI | 2 | 8640 | 95 | 12.0 | 0.13675 | 0.15241 | 0.16874 | 0.09944 | 43.17 | 23.40 | 11.45 | 11.95 | 23.0 | 31.4
standard | mae | 2 | 8640 | 95 | 12.0 | 0.25352 | 0.24610 | 0.23414 | 0.26181 | 14.37 | 7.64 | 2.93 | 4.72 | 24.5 | 28.5
standard | rmse | 2 | 8640 | 95 | 12.0 | 0.28997 | 0.28001 | 0.25694 | 0.32160 | 14.09 | 11.39 | 3.43 | 7.96 | 24.3 | 25.8
standard | ssim | 2 | 8640 | 95 | 12.0 | 0.05081 | 0.07909 | 0.09679 | 0.01092 | 31.52 | 90.49 | 55.64 | 34.85 | 19.1 | 38.2
