corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,blocks,P,,,80,2,24,1,8640,8,0.5641753359550759,0.6409183327703414,0.002118083422106879,0.34125398511880584,0.0942240180538186,0.0023366749999999357,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,F,,,80,2,24,1,8640,8,0.25973936035405654,0.2840490048905062,0.3128570449579365,0.20254316454260882,0.38579979813602777,0.00012135899999999444,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,P,,,80,4,24,1,8640,8,0.5163208698797013,0.6021962916936393,0.0005473320611369374,0.368414500502425,0.06215893755579457,0.0030681119999998573,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,F,,,80,4,24,1,8640,8,0.26064705834572177,0.2852511374672216,0.3126721271145143,0.2026436606471535,0.38538061476778956,0.00012837799999999508,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,P,,,80,8,24,1,8640,8,0.5641753359550759,0.6409183327703414,0.002118083422106879,0.34125398511880584,0.0942240180538186,0.0025419319999999013,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,F,,,80,8,24,1,8640,8,0.26120056582326084,0.28600356429270085,0.3125612757884509,0.20269709056202936,0.3850379305934854,0.00013146599999999586,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,P,,,80,16,24,1,8640,8,0.5641753359550759,0.6409183327703414,0.002118083422106879,0.34125398511880584,0.0942240180538186,0.0023577599999999523,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,F,,,80,16,24,1,8640,8,0.2614199500247222,0.2862877097411469,0.3125650120929525,0.20272746198072744,0.38491124447256614,0.00012457099999999468,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,P,,,80,32,24,1,8640,8,0.5641753359550759,0.6409183327703414,0.002118083422106879,0.34125398511880584,0.0942240180538186,0.0015763379999998914,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,blocks,F,,,80,32,24,1,8640,8,0.2615090313929655,0.2864481266416813,0.3125630032302214,0.2027405017716582,0.384829632819268,0.0001126719999999948,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,P,,,80,2,24,1,8640,95,0.24087410075638263,0.2548911009218374,0.31339610393812944,0.19978071896520297,0.378166159439075,0.026132242999999895,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,F,,,80,2,24,1,8640,95,0.2514578949240638,0.3078375098144962,0.026734494782514603,0.2881237622539667,0.1364495044036001,0.002160606999999879,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,P,,,80,4,24,1,8640,95,0.2424494942383478,0.25779423977057614,0.3131151484157761,0.2039068458466502,0.37967269591934033,0.027229833000000054,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,F,,,80,4,24,1,8640,95,0.25083876532495136,0.3040936606239537,0.05212734556396394,0.28115532690887324,0.1578328625977066,0.0010478570000000376,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,P,,,80,8,24,1,8640,95,0.2423591959628659,0.2568551652615045,0.31325800317923025,0.20041047288888875,0.3778304934916513,0.020811237999999968,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,F,,,80,8,24,1,8640,95,0.25049335138776424,0.30188767617568196,0.06716893826813487,0.27698660828775024,0.17057413533739915,0.000990474000000075,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,P,,,80,16,24,1,8640,95,0.24186603293460268,0.2565703372707049,0.3133443175726111,0.2005166321840321,0.37827644517169395,0.021766587000000004,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,F,,,80,16,24,1,8640,95,0.2507281988247898,0.30290747907405463,0.06157060008175613,0.2785136232192456,0.1658859625967254,0.0010020340000000704,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,P,,,80,32,24,1,8640,95,0.24216508172323126,0.25676717736966775,0.3133935899295664,0.2002729325350772,0.3779885102350814,0.012593911000000027,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-steerable-v1,standard,F,,,80,32,24,1,8640,95,0.25073546356057586,0.30291774420795153,0.06171991709770379,0.27848734203050873,0.16597108762063767,0.0009387000000000889,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
