# Selection optimality gap
charset | oracle | os | cells | glyphs | poolW | prod | optPool | optGlobal | toneOnly | meanRank | totalGap% | rankGap% | poolGap% | exactOpt% | optInPool%
blocks | gmsd | 2 | 8640 | 8 | 8.0 | 0.34125 | 0.16321 | 0.16321 | 0.20254 | 3.73 | 52.17 | 52.17 | 0.00 | 1.1 | 100.0
blocks | haarPSI | 2 | 8640 | 8 | 8.0 | 0.09422 | 0.41123 | 0.41123 | 0.38580 | 2.56 | 336.44 | 336.44 | 0.00 | 16.5 | 100.0
blocks | mae | 2 | 8640 | 8 | 8.0 | 0.56418 | 0.21210 | 0.21210 | 0.25974 | 7.19 | 62.40 | 62.40 | 0.00 | 0.0 | 100.0
blocks | rmse | 2 | 8640 | 8 | 8.0 | 0.64092 | 0.22586 | 0.22586 | 0.28405 | 7.16 | 64.76 | 64.76 | 0.00 | 2.9 | 100.0
blocks | ssim | 2 | 8640 | 8 | 8.0 | 0.00212 | 0.32497 | 0.32497 | 0.31286 | 5.76 | 15242.56 | 15242.56 | 0.00 | 4.4 | 100.0
blocks | gmsd | 4 | 8640 | 8 | 8.0 | 0.36841 | 0.16321 | 0.16321 | 0.20264 | 6.21 | 55.70 | 55.70 | 0.00 | 0.6 | 100.0
blocks | haarPSI | 4 | 8640 | 8 | 8.0 | 0.06216 | 0.41123 | 0.41123 | 0.38538 | 5.35 | 561.58 | 561.58 | 0.00 | 1.9 | 100.0
blocks | mae | 4 | 8640 | 8 | 8.0 | 0.51632 | 0.21210 | 0.21210 | 0.26065 | 5.91 | 58.92 | 58.92 | 0.00 | 3.8 | 100.0
blocks | rmse | 4 | 8640 | 8 | 8.0 | 0.60220 | 0.22586 | 0.22586 | 0.28525 | 6.06 | 62.49 | 62.49 | 0.00 | 3.4 | 100.0
blocks | ssim | 4 | 8640 | 8 | 8.0 | 0.00055 | 0.32497 | 0.32497 | 0.31267 | 5.46 | 59273.14 | 59273.14 | 0.00 | 4.3 | 100.0
blocks | gmsd | 8 | 8640 | 8 | 8.0 | 0.34125 | 0.16321 | 0.16321 | 0.20270 | 3.73 | 52.17 | 52.17 | 0.00 | 1.1 | 100.0
blocks | haarPSI | 8 | 8640 | 8 | 8.0 | 0.09422 | 0.41123 | 0.41123 | 0.38504 | 2.56 | 336.44 | 336.44 | 0.00 | 16.5 | 100.0
blocks | mae | 8 | 8640 | 8 | 8.0 | 0.56418 | 0.21210 | 0.21210 | 0.26120 | 7.19 | 62.40 | 62.40 | 0.00 | 0.0 | 100.0
blocks | rmse | 8 | 8640 | 8 | 8.0 | 0.64092 | 0.22586 | 0.22586 | 0.28600 | 7.16 | 64.76 | 64.76 | 0.00 | 2.9 | 100.0
blocks | ssim | 8 | 8640 | 8 | 8.0 | 0.00212 | 0.32497 | 0.32497 | 0.31256 | 5.76 | 15242.56 | 15242.56 | 0.00 | 4.4 | 100.0
blocks | gmsd | 16 | 8640 | 8 | 8.0 | 0.34125 | 0.16321 | 0.16321 | 0.20273 | 3.73 | 52.17 | 52.17 | 0.00 | 1.1 | 100.0
blocks | haarPSI | 16 | 8640 | 8 | 8.0 | 0.09422 | 0.41123 | 0.41123 | 0.38491 | 2.56 | 336.44 | 336.44 | 0.00 | 16.5 | 100.0
blocks | mae | 16 | 8640 | 8 | 8.0 | 0.56418 | 0.21210 | 0.21210 | 0.26142 | 7.19 | 62.40 | 62.40 | 0.00 | 0.0 | 100.0
blocks | rmse | 16 | 8640 | 8 | 8.0 | 0.64092 | 0.22586 | 0.22586 | 0.28629 | 7.16 | 64.76 | 64.76 | 0.00 | 2.9 | 100.0
blocks | ssim | 16 | 8640 | 8 | 8.0 | 0.00212 | 0.32497 | 0.32497 | 0.31257 | 5.76 | 15242.56 | 15242.56 | 0.00 | 4.4 | 100.0
blocks | gmsd | 32 | 8640 | 8 | 8.0 | 0.34125 | 0.16321 | 0.16321 | 0.20274 | 3.73 | 52.17 | 52.17 | 0.00 | 1.1 | 100.0
blocks | haarPSI | 32 | 8640 | 8 | 8.0 | 0.09422 | 0.41123 | 0.41123 | 0.38483 | 2.56 | 336.44 | 336.44 | 0.00 | 16.5 | 100.0
blocks | mae | 32 | 8640 | 8 | 8.0 | 0.56418 | 0.21210 | 0.21210 | 0.26151 | 7.19 | 62.40 | 62.40 | 0.00 | 0.0 | 100.0
blocks | rmse | 32 | 8640 | 8 | 8.0 | 0.64092 | 0.22586 | 0.22586 | 0.28645 | 7.16 | 64.76 | 64.76 | 0.00 | 2.9 | 100.0
blocks | ssim | 32 | 8640 | 8 | 8.0 | 0.00212 | 0.32497 | 0.32497 | 0.31256 | 5.76 | 15242.56 | 15242.56 | 0.00 | 4.4 | 100.0
standard | gmsd | 2 | 8640 | 95 | 12.0 | 0.19978 | 0.19535 | 0.16274 | 0.28812 | 24.56 | 18.54 | 2.22 | 16.33 | 39.8 | 42.2
standard | haarPSI | 2 | 8640 | 95 | 12.0 | 0.37817 | 0.39346 | 0.40575 | 0.13645 | 33.56 | 7.29 | 4.04 | 3.25 | 37.8 | 47.5
