# Selection optimality gap
charset | oracle | os | cells | glyphs | poolW | prod | optPool | optGlobal | toneOnly | meanRank | totalGap% | rankGap% | poolGap% | exactOpt% | optInPool%
blocks | gmsd | 2 | 8640 | 8 | 8.0 | 0.29502 | 0.17219 | 0.17219 | 0.30405 | 3.41 | 41.63 | 41.63 | 0.00 | 1.5 | 100.0
blocks | haarPSI | 2 | 8640 | 8 | 8.0 | 0.08336 | 0.17143 | 0.17143 | 0.12084 | 3.89 | 105.64 | 105.64 | 0.00 | 4.5 | 100.0
blocks | mae | 2 | 8640 | 8 | 8.0 | 0.55714 | 0.22949 | 0.22949 | 0.31809 | 7.15 | 58.81 | 58.81 | 0.00 | 7.1 | 100.0
blocks | rmse | 2 | 8640 | 8 | 8.0 | 0.63533 | 0.25564 | 0.25564 | 0.39396 | 7.12 | 59.76 | 59.76 | 0.00 | 9.0 | 100.0
blocks | ssim | 2 | 8640 | 8 | 8.0 | 0.00261 | 0.06817 | 0.06817 | 0.03623 | 5.17 | 2516.91 | 2516.91 | 0.00 | 4.1 | 100.0
standard | gmsd | 2 | 8640 | 95 | 12.0 | 0.24921 | 0.23872 | 0.17019 | 0.28283 | 26.04 | 31.71 | 4.21 | 27.50 | 19.9 | 23.0
standard | haarPSI | 2 | 8640 | 95 | 12.0 | 0.12405 | 0.14007 | 0.15792 | 0.09494 | 44.52 | 27.31 | 12.92 | 14.39 | 19.7 | 27.6
standard | mae | 2 | 8640 | 95 | 12.0 | 0.26834 | 0.26060 | 0.24838 | 0.27573 | 15.59 | 7.44 | 2.88 | 4.55 | 20.5 | 24.5
standard | rmse | 2 | 8640 | 95 | 12.0 | 0.30562 | 0.29534 | 0.27158 | 0.33284 | 15.17 | 11.14 | 3.37 | 7.77 | 20.2 | 21.8
standard | ssim | 2 | 8640 | 95 | 12.0 | 0.04141 | 0.07067 | 0.08814 | 0.00994 | 34.15 | 112.87 | 70.67 | 42.20 | 14.4 | 35.6
