# Selection optimality gap
charset | oracle | os | cells | glyphs | poolW | prod | optPool | optGlobal | toneOnly | meanRank | totalGap% | rankGap% | poolGap% | exactOpt% | optInPool%
blocks | gmsd | 2 | 8640 | 8 | 8.0 | 0.33993 | 0.16435 | 0.16435 | 0.20452 | 3.75 | 51.65 | 51.65 | 0.00 | 0.9 | 100.0
blocks | haarPSI | 2 | 8640 | 8 | 8.0 | 0.09480 | 0.40517 | 0.40517 | 0.37907 | 2.53 | 327.38 | 327.38 | 0.00 | 17.2 | 100.0
blocks | mae | 2 | 8640 | 8 | 8.0 | 0.56329 | 0.21528 | 0.21528 | 0.26391 | 7.22 | 61.78 | 61.78 | 0.00 | 0.0 | 100.0
blocks | rmse | 2 | 8640 | 8 | 8.0 | 0.63874 | 0.22905 | 0.22905 | 0.28817 | 7.21 | 64.14 | 64.14 | 0.00 | 2.7 | 100.0
blocks | ssim | 2 | 8640 | 8 | 8.0 | 0.00214 | 0.31826 | 0.31826 | 0.30584 | 5.73 | 14777.78 | 14777.78 | 0.00 | 4.9 | 100.0
blocks | gmsd | 4 | 8640 | 8 | 8.0 | 0.36664 | 0.16435 | 0.16435 | 0.20462 | 6.21 | 55.17 | 55.17 | 0.00 | 0.5 | 100.0
blocks | haarPSI | 4 | 8640 | 8 | 8.0 | 0.06293 | 0.40517 | 0.40517 | 0.37862 | 5.30 | 543.88 | 543.88 | 0.00 | 1.9 | 100.0
blocks | mae | 4 | 8640 | 8 | 8.0 | 0.51580 | 0.21528 | 0.21528 | 0.26478 | 5.92 | 58.26 | 58.26 | 0.00 | 3.4 | 100.0
blocks | rmse | 4 | 8640 | 8 | 8.0 | 0.60028 | 0.22905 | 0.22905 | 0.28932 | 6.09 | 61.84 | 61.84 | 0.00 | 2.5 | 100.0
blocks | ssim | 4 | 8640 | 8 | 8.0 | 0.00050 | 0.31826 | 0.31826 | 0.30573 | 5.45 | 63535.49 | 63535.49 | 0.00 | 4.2 | 100.0
blocks | gmsd | 8 | 8640 | 8 | 8.0 | 0.34025 | 0.16294 | 0.16294 | 0.20279 | 3.72 | 52.11 | 52.11 | 0.00 | 0.9 | 100.0
blocks | haarPSI | 8 | 8640 | 8 | 8.0 | 0.09450 | 0.40912 | 0.40912 | 0.38262 | 2.55 | 332.94 | 332.94 | 0.00 | 16.9 | 100.0
blocks | mae | 8 | 8640 | 8 | 8.0 | 0.56374 | 0.21354 | 0.21354 | 0.26262 | 7.20 | 62.12 | 62.12 | 0.00 | 0.0 | 100.0
blocks | rmse | 8 | 8640 | 8 | 8.0 | 0.63991 | 0.22722 | 0.22722 | 0.28700 | 7.18 | 64.49 | 64.49 | 0.00 | 2.9 | 100.0
blocks | ssim | 8 | 8640 | 8 | 8.0 | 0.00217 | 0.32343 | 0.32343 | 0.31078 | 5.78 | 14824.99 | 14824.99 | 0.00 | 4.3 | 100.0
blocks | gmsd | 16 | 8640 | 8 | 8.0 | 0.34121 | 0.16356 | 0.16356 | 0.20340 | 3.76 | 52.07 | 52.07 | 0.00 | 0.9 | 100.0
blocks | haarPSI | 16 | 8640 | 8 | 8.0 | 0.09425 | 0.41064 | 0.41064 | 0.38425 | 2.57 | 335.67 | 335.67 | 0.00 | 16.5 | 100.0
blocks | mae | 16 | 8640 | 8 | 8.0 | 0.56402 | 0.21259 | 0.21259 | 0.26251 | 7.19 | 62.31 | 62.31 | 0.00 | 0.0 | 100.0
blocks | rmse | 16 | 8640 | 8 | 8.0 | 0.64058 | 0.22644 | 0.22644 | 0.28764 | 7.17 | 64.65 | 64.65 | 0.00 | 2.8 | 100.0
blocks | ssim | 16 | 8640 | 8 | 8.0 | 0.00214 | 0.32412 | 0.32412 | 0.31203 | 5.76 | 15063.62 | 15063.62 | 0.00 | 4.6 | 100.0
blocks | gmsd | 32 | 8640 | 8 | 8.0 | 0.34129 | 0.16332 | 0.16332 | 0.20296 | 3.74 | 52.15 | 52.15 | 0.00 | 1.0 | 100.0
blocks | haarPSI | 32 | 8640 | 8 | 8.0 | 0.09425 | 0.41112 | 0.41112 | 0.38462 | 2.57 | 336.20 | 336.20 | 0.00 | 16.2 | 100.0
blocks | mae | 32 | 8640 | 8 | 8.0 | 0.56416 | 0.21214 | 0.21214 | 0.26174 | 7.19 | 62.40 | 62.40 | 0.00 | 0.0 | 100.0
blocks | rmse | 32 | 8640 | 8 | 8.0 | 0.64089 | 0.22592 | 0.22592 | 0.28684 | 7.16 | 64.75 | 64.75 | 0.00 | 2.8 | 100.0
blocks | ssim | 32 | 8640 | 8 | 8.0 | 0.00211 | 0.32477 | 0.32477 | 0.31249 | 5.78 | 15268.36 | 15268.36 | 0.00 | 4.2 | 100.0
standard | gmsd | 2 | 8640 | 95 | 12.0 | 0.20146 | 0.19691 | 0.16377 | 0.28809 | 24.79 | 18.71 | 2.26 | 16.45 | 38.8 | 41.5
standard | haarPSI | 2 | 8640 | 95 | 12.0 | 0.37160 | 0.38723 | 0.39937 | 0.13414 | 33.59 | 7.47 | 4.21 | 3.27 | 37.0 | 46.7
standard | mae | 2 | 8640 | 95 | 12.0 | 0.24363 | 0.23916 | 0.23222 | 0.25403 | 20.65 | 4.68 | 1.83 | 2.85 | 38.0 | 43.6
standard | rmse | 2 | 8640 | 95 | 12.0 | 0.25764 | 0.25355 | 0.24222 | 0.30956 | 18.96 | 5.98 | 1.59 | 4.40 | 37.8 | 38.7
standard | ssim | 2 | 8640 | 95 | 12.0 | 0.30634 | 0.31948 | 0.32758 | 0.02478 | 30.26 | 6.93 | 4.29 | 2.64 | 36.8 | 45.7
standard | gmsd | 4 | 8640 | 95 | 12.0 | 0.20554 | 0.19691 | 0.16377 | 0.28167 | 35.85 | 20.32 | 4.20 | 16.12 | 36.1 | 41.4
standard | haarPSI | 4 | 8640 | 95 | 12.0 | 0.37312 | 0.38730 | 0.39937 | 0.15382 | 28.52 | 7.04 | 3.80 | 3.23 | 35.6 | 46.7
standard | mae | 4 | 8640 | 95 | 12.0 | 0.24525 | 0.23933 | 0.23222 | 0.25344 | 23.41 | 5.31 | 2.41 | 2.90 | 37.5 | 43.3
standard | rmse | 4 | 8640 | 95 | 12.0 | 0.26069 | 0.25395 | 0.24222 | 0.30606 | 23.39 | 7.08 | 2.59 | 4.50 | 37.5 | 38.4
standard | ssim | 4 | 8640 | 95 | 12.0 | 0.30634 | 0.31948 | 0.32758 | 0.04839 | 30.03 | 6.93 | 4.29 | 2.65 | 36.4 | 45.6
standard | gmsd | 8 | 8640 | 95 | 12.0 | 0.20020 | 0.19528 | 0.16226 | 0.27590 | 24.31 | 18.95 | 2.46 | 16.49 | 38.4 | 42.0
standard | haarPSI | 8 | 8640 | 95 | 12.0 | 0.37547 | 0.39118 | 0.40332 | 0.17124 | 34.68 | 7.42 | 4.18 | 3.24 | 36.5 | 47.7
standard | mae | 8 | 8640 | 95 | 12.0 | 0.24358 | 0.23799 | 0.23074 | 0.25158 | 24.11 | 5.27 | 2.29 | 2.98 | 38.2 | 43.5
standard | rmse | 8 | 8640 | 95 | 12.0 | 0.25787 | 0.25253 | 0.24070 | 0.30228 | 22.80 | 6.66 | 2.07 | 4.58 | 38.0 | 38.9
standard | ssim | 8 | 8640 | 95 | 12.0 | 0.31213 | 0.32481 | 0.33266 | 0.06899 | 29.27 | 6.58 | 4.06 | 2.52 | 37.8 | 46.3
standard | gmsd | 16 | 8640 | 95 | 12.0 | 0.20122 | 0.19612 | 0.16334 | 0.27865 | 25.50 | 18.82 | 2.53 | 16.29 | 38.3 | 41.5
standard | haarPSI | 16 | 8640 | 95 | 12.0 | 0.37782 | 0.39304 | 0.40516 | 0.16598 | 33.16 | 7.24 | 4.03 | 3.21 | 36.1 | 47.5
standard | mae | 16 | 8640 | 95 | 12.0 | 0.24238 | 0.23733 | 0.22987 | 0.25122 | 20.99 | 5.16 | 2.09 | 3.07 | 38.0 | 43.2
standard | rmse | 16 | 8640 | 95 | 12.0 | 0.25733 | 0.25233 | 0.24002 | 0.30324 | 19.10 | 6.73 | 1.94 | 4.78 | 37.8 | 38.6
standard | ssim | 16 | 8640 | 95 | 12.0 | 0.31230 | 0.32551 | 0.33350 | 0.06151 | 30.06 | 6.79 | 4.23 | 2.56 | 37.4 | 45.9
standard | gmsd | 32 | 8640 | 95 | 12.0 | 0.20048 | 0.19558 | 0.16291 | 0.27842 | 24.25 | 18.74 | 2.44 | 16.29 | 38.6 | 41.8
standard | haarPSI | 32 | 8640 | 95 | 12.0 | 0.37786 | 0.39352 | 0.40567 | 0.16660 | 34.36 | 7.36 | 4.14 | 3.22 | 36.5 | 47.9
standard | mae | 32 | 8640 | 95 | 12.0 | 0.24223 | 0.23693 | 0.22946 | 0.25077 | 21.72 | 5.27 | 2.19 | 3.08 | 38.5 | 43.4
standard | rmse | 32 | 8640 | 95 | 12.0 | 0.25688 | 0.25177 | 0.23954 | 0.30286 | 19.73 | 6.75 | 1.99 | 4.76 | 38.2 | 39.1
standard | ssim | 32 | 8640 | 95 | 12.0 | 0.31319 | 0.32640 | 0.33432 | 0.06231 | 29.46 | 6.75 | 4.22 | 2.53 | 37.5 | 46.7
