metric,regime,sub_battery,base_mean,treatment_mean,delta,cells
mae,shipping-os2,spokes,0.079343419705,0.081857759287,-0.031689327114,2880
mae,shipping-os2,diagonals,0.484016278004,0.484217114288,-0.000414937045,11520
mae,shipping-os2,arcs,0.495056927816,0.494385512667,0.001356238266,2880
mae,shipping-os2,naturals,0.240874100756,0.241913437872,-0.004314856236,8640
mae,shipping-os2,aggregate,0.359231973534,0.359872449191,-0.001782902705,25920
gmsd,shipping-os2,spokes,0.135148388253,0.139374016628,-0.031266583566,2880
gmsd,shipping-os2,diagonals,0.373397406389,0.373606737437,-0.000560611948,11520
gmsd,shipping-os2,arcs,0.422957819156,0.422216083584,0.001753686866,2880
gmsd,shipping-os2,naturals,0.199780718965,0.201703000633,-0.009621957904,8640
gmsd,shipping-os2,aggregate,0.294559776651,0.295680672429,-0.003805325323,25920
one_minus_haarpsi,shipping-os2,spokes,0.308845994674,0.310051873300,-0.003904465805,2880
one_minus_haarpsi,shipping-os2,diagonals,0.961882170311,0.961953091767,-0.000073731958,11520
one_minus_haarpsi,shipping-os2,arcs,0.951752890337,0.953679358906,-0.002024126838,2880
one_minus_haarpsi,shipping-os2,naturals,0.621833840561,0.623289983155,-0.002341690818,8640
one_minus_haarpsi,shipping-os2,aggregate,0.774847676438,0.775712616526,-0.001116271127,25920
cssim_loss,shipping-os2,spokes,0.037519858828,0.037463933747,0.001490546143,2880
cssim_loss,shipping-os2,diagonals,0.620460527009,0.622244325778,-0.002874959310,11520
cssim_loss,shipping-os2,arcs,0.573442385639,0.571866639750,0.002747871328,2880
cssim_loss,shipping-os2,naturals,0.032336240333,0.032319103151,0.000529968293,8640
cssim_loss,shipping-os2,aggregate,0.354423674834,0.355029465118,-0.001709226350,25920
milo,shipping-os2,spokes,0.013225175299,0.017321704017,-0.309752319079,2880
milo,shipping-os2,diagonals,0.065809001923,0.063670891802,0.032489629963,11520
milo,shipping-os2,arcs,0.061359613905,0.046920659992,0.235316896470,2880
milo,shipping-os2,naturals,0.037986722423,0.046183448289,-0.215778707472,8640
milo,shipping-os2,aggregate,0.050197884907,0.050830697343,-0.012606356558,25920
mae,historical-support,spokes,0.089512505684,0.089648295355,-0.001516991056,2880
mae,historical-support,diagonals,0.479825915077,0.479825915077,0.000000000000,11520
mae,historical-support,arcs,0.492317380429,0.492285247660,0.000065268404,2880
mae,historical-support,naturals,0.242186131866,0.242317622409,-0.000542931761,8640
mae,historical-support,aggregate,0.358632438002,0.358687785617,-0.000154329638,25920
gmsd,historical-support,spokes,0.147798307199,0.148183411597,-0.002605607633,2880
gmsd,historical-support,diagonals,0.381351654324,0.381351654324,0.000000000000,11520
gmsd,historical-support,arcs,0.425067624698,0.425075570281,-0.000018692515,2880
gmsd,historical-support,naturals,0.200252676992,0.202392431535,-0.010685273101,8640
gmsd,historical-support,aggregate,0.299892286685,0.300649210420,-0.002523985337,25920
one_minus_haarpsi,historical-support,spokes,0.314519905883,0.314866425274,-0.001101740731,2880
one_minus_haarpsi,historical-support,diagonals,0.955898779934,0.955898779934,0.000000000000,11520
one_minus_haarpsi,historical-support,arcs,0.943285567511,0.943287983887,-0.000002561659,2880
one_minus_haarpsi,historical-support,naturals,0.622010231508,0.621442907502,0.000912081469,8640
one_minus_haarpsi,historical-support,aggregate,0.771936809740,0.771786472378,0.000194753455,25920
cssim_loss,historical-support,spokes,0.037491017516,0.037669959255,-0.004772922989,2880
cssim_loss,historical-support,diagonals,0.620927484802,0.620927484802,0.000000000000,11520
cssim_loss,historical-support,arcs,0.574052330324,0.573981759809,0.000122933940,2880
cssim_loss,historical-support,naturals,0.032303799446,0.032314085039,-0.000318401956,8640
cssim_loss,historical-support,aggregate,0.354684965042,0.354700434821,-0.000043615545,25920
milo,historical-support,spokes,0.019909096470,0.020317448137,-0.020510808634,2880
milo,historical-support,diagonals,0.038071332859,0.038071332859,0.000000000000,11520
milo,historical-support,arcs,0.039249862484,0.039231500153,0.000467831745,2880
milo,historical-support,naturals,0.048595161728,0.044886881498,0.076309659195,8640
milo,historical-support,aggregate,0.039692197286,0.038499436024,0.030050270408,25920
