metric,regime,sub_battery,base_mean,treatment_mean,delta,cells
milo,shipping-os2,spokes,0.013225175299,0.017321704017,-0.309752319079,2880
milo,shipping-os2,diagonals,0.065809001923,0.063670891802,0.032489629963,11520
milo,shipping-os2,arcs,0.061359613905,0.046920659992,0.235316896470,2880
milo,shipping-os2,naturals,0.037986722423,0.046183448289,-0.215778707472,8640
milo,shipping-os2,aggregate,0.050197884907,0.050830697343,-0.012606356558,25920
milo,historical-support,spokes,0.019909096470,0.020317448137,-0.020510808634,2880
milo,historical-support,diagonals,0.038071332859,0.038071332859,0.000000000000,11520
milo,historical-support,arcs,0.039249862484,0.039231500153,0.000467831745,2880
milo,historical-support,naturals,0.048595161728,0.044886881498,0.076309659195,8640
milo,historical-support,aggregate,0.039692197286,0.038499436024,0.030050270408,25920
