columns,rows,cell_width,cell_height,height_parity,admitted_pixels,total_pixels,reachable_bins,admitted_coordinates,bin_indices,dropped_x,dropped_y
4,1,2,8,even,3,16,3,1:3;0:4;1:5,51;54;56,0,0
5,2,2,5,odd,2,10,2,1:2;1:3,3;8,0,0
6,2,2,6,even,3,12,3,1:2;0:3;1:4,51;54;56,0,0
7,3,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
8,3,2,5,odd,2,10,2,1:2;1:3,3;8,0,0
9,4,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
10,4,2,5,odd,2,10,2,1:2;1:3,3;8,0,0
11,4,2,5,odd,2,10,2,1:2;1:3,3;8,0,0
12,5,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
13,5,2,5,odd,2,10,2,1:2;1:3,3;8,0,0
14,6,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
15,6,2,5,odd,2,10,2,1:2;1:3,3;8,0,0
16,7,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
17,7,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
18,8,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
19,8,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
20,9,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
21,9,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
22,9,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
23,10,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
24,10,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
25,11,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
26,11,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
27,12,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
28,12,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
29,13,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
30,13,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
31,14,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
32,14,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
33,14,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
34,15,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
35,15,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
36,16,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
37,16,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
38,17,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
39,17,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
40,18,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
41,18,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
42,19,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
43,19,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
44,19,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
45,20,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
46,20,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
47,21,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
48,21,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
49,22,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
50,22,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
51,23,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
52,23,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
53,24,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
54,24,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
55,24,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
56,25,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
57,25,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
58,26,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
59,26,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
60,27,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
61,27,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
62,28,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
63,28,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
64,29,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
65,29,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
66,29,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
67,30,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
68,30,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
69,31,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
70,31,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
71,32,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
72,32,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
73,33,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
74,33,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
75,34,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
76,34,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
77,34,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
78,35,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
79,35,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
80,36,2,4,even,3,8,3,1:1;0:2;1:3,51;54;56,0,0
