regime,fixture,sub_battery,native_width,native_height,columns,rows,cell_width,cell_height,admitted_pixels,total_pixels,reachable_bins,sampling_width,sampling_height,expected_sampling_width,expected_sampling_height,dropped_x,dropped_y,oversample,scored_cells
shipping-os2,spokes,spokes,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,diag-15deg,diagonals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,diag-30deg,diagonals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,diag-60deg,diagonals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,diag-75deg,diagonals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,arcs,arcs,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,earth-limb-sunrise,naturals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,sahara-dunes,naturals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
shipping-os2,vavilov-crater,naturals,3072,3072,80,36,2,4,3,8,3,160,144,160,144,0,0,2,2880
historical-support,spokes,spokes,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,diag-15deg,diagonals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,diag-30deg,diagonals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,diag-60deg,diagonals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,diag-75deg,diagonals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,arcs,arcs,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,earth-limb-sunrise,naturals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,sahara-dunes,naturals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
historical-support,vavilov-crater,naturals,3072,3072,80,36,38,85,1130,3230,48,3040,3060,3040,3060,0,0,39,2880
