set,unicode_scalar,brightness_delta,raw_density_delta,shape_max_delta,orientation_max_delta,radial_peak_delta,overall_max_delta
standard,U+0020,0,0,0,0,0,0
standard,U+0021,0,0,0,0,0,0
standard,U+0022,0,0,0,0,0,0
standard,U+0023,0,0,0,0,0,0
standard,U+0024,0,0,0,0,0,0
standard,U+0025,0,0,0,0,0,0
standard,U+0026,0,0,0,0,0,0
standard,U+0027,0,0,0,0,0,0
standard,U+0028,0,0,0,0,0,0
standard,U+0029,0,0,0,0,0,0
standard,U+002A,0,0,0,0,0,0
standard,U+002B,0,0,0,0,0,0
standard,U+002C,0,0,0,0,0,0
standard,U+002D,0,0,0,0,0,0
standard,U+002E,0,0,0,0,0,0
standard,U+002F,0,0,0,0,0,0
standard,U+0030,0,0,0,0,0,0
standard,U+0031,0,0,0,0,0,0
standard,U+0032,0,0,0,0,0,0
standard,U+0033,0,0,0,0,0,0
standard,U+0034,0,0,0,0,0,0
standard,U+0035,0,0,0,0,0,0
standard,U+0036,0,0,0,0,0,0
standard,U+0037,0,0,0,0,0,0
standard,U+0038,0,0,0,0,0,0
standard,U+0039,0,0,0,0,0,0
standard,U+003A,0,0,0,0,0,0
standard,U+003B,0,0,0,0,0,0
standard,U+003C,0,0,0,0,0,0
standard,U+003D,0,0,0,0,0,0
standard,U+003E,0,0,0,0,0,0
standard,U+003F,0,0,0,0,0,0
standard,U+0040,0,0,0,0,0,0
standard,U+0041,0,0,0,0,0,0
standard,U+0042,0,0,0,0,0,0
standard,U+0043,0,0,0,0,0,0
standard,U+0044,0,0,0,0,0,0
standard,U+0045,0,0,0,0,0,0
standard,U+0046,0,0,0,0,0,0
standard,U+0047,0,0,0,0,0,0
standard,U+0048,0,0,0,0,0,0
standard,U+0049,0,0,0,0,0,0
standard,U+004A,0,0,0,0,0,0
standard,U+004B,0,0,0,0,0,0
standard,U+004C,0,0,0,0,0,0
standard,U+004D,0,0,0,0,0,0
standard,U+004E,0,0,0,0,0,0
standard,U+004F,0,0,0,0,0,0
standard,U+0050,0,0,0,0,0,0
standard,U+0051,0,0,0,0,0,0
standard,U+0052,0,0,0,0,0,0
standard,U+0053,0,0,0,0,0,0
standard,U+0054,0,0,0,0,0,0
standard,U+0055,0,0,0,0,0,0
standard,U+0056,0,0,0,0,0,0
standard,U+0057,0,0,0,0,0,0
standard,U+0058,0,0,0,0,0,0
standard,U+0059,0,0,0,0,0,0
standard,U+005A,0,0,0,0,0,0
standard,U+005B,0,0,0,0,0,0
standard,U+005C,0,0,0,0,0,0
standard,U+005D,0,0,0,0,0,0
standard,U+005E,0,0,0,0,0,0
standard,U+005F,0,0,0,0,0,0
standard,U+0060,0,0,0,0,0,0
standard,U+0061,0,0,0,0,0,0
standard,U+0062,0,0,0,0,0,0
standard,U+0063,0,0,0,0,0,0
standard,U+0064,0,0,0,0,0,0
standard,U+0065,0,0,0,0,0,0
standard,U+0066,0,0,0,0,0,0
standard,U+0067,0,0,0,0,0,0
standard,U+0068,0,0,0,0,0,0
standard,U+0069,0,0,0,0,0,0
standard,U+006A,0,0,0,0,0,0
standard,U+006B,0,0,0,0,0,0
standard,U+006C,0,0,0,0,0,0
standard,U+006D,0,0,0,0,0,0
standard,U+006E,0,0,0,0,0,0
standard,U+006F,0,0,0,0,0,0
standard,U+0070,0,0,0,0,0,0
standard,U+0071,0,0,0,0,0,0
standard,U+0072,0,0,0,0,0,0
standard,U+0073,0,0,0,0,0,0
standard,U+0074,0,0,0,0,0,0
standard,U+0075,0,0,0,0,0,0
standard,U+0076,0,0,0,0,0,0
standard,U+0077,0,0,0,0,0,0
standard,U+0078,0,0,0,0,0,0
standard,U+0079,0,0,0,0,0,0
standard,U+007A,0,0,0,0,0,0
standard,U+007B,0,0,0,0,0,0
standard,U+007C,0,0,0,0,0,0
standard,U+007D,0,0,0,0,0,0
standard,U+007E,0,0,0,0,0,0
minimal,U+0020,0,0,0,0,0,0
minimal,U+0023,0,0,0,0,0,0
minimal,U+0025,0,0,0,0,0,0
minimal,U+002A,0,0,0,0,0,0
minimal,U+002B,0,0,0,0,0,0
minimal,U+002D,0,0,0,0,0,0
minimal,U+002E,0,0,0,0,0,0
minimal,U+003A,0,0,0,0,0,0
minimal,U+003D,0,0,0,0,0,0
minimal,U+0040,0,0,0,0,0,0
blocks,U+0020,0,0,0,0,0,0
blocks,U+2580,0,0,0,0,0,0
blocks,U+2584,0,0,0,0,0,0
blocks,U+2588,0,0,0,0,0,0
blocks,U+2591,0,0,0,0,0,0
blocks,U+2592,0,0,0,0,0,0
blocks,U+2593,0,0,0,0,0,0
blocks,U+25A0,0,0,0,0,0,0
dots,U+0020,0,0,0,0,0,0
dots,U+002E,0,0,0,0,0,0
dots,U+00B7,0,0,0,0,0,0
dots,U+2022,0,0,0,0,0,0
dots,U+2219,0,0,0,0,0,0
