phase,candidate_index,luma_min,luma_max,chroma_scale,width,height,columns,cell_width,cell_height,fixture_id,lambda,flipped_fraction,distinct_count,monotone,off_band_invariant,lambda50,qualifies,selected,invalid_reason
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,redGreenCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,0,0.005,0.08,0.08,512,522,64,8,18,blueYellowCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,redGreenCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,1,0.005,0.08,0.16,512,522,64,8,18,blueYellowCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,redGreenCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,2,0.005,0.08,0.24,512,522,64,8,18,blueYellowCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,0.95,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,redGreenCompetition,1.00,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.00,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.05,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.10,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.15,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.20,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.25,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.30,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.35,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.40,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.45,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.50,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.55,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.60,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.65,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.70,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.75,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.80,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.85,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.90,0.000000,1,1,1,,0,0,
calibration,3,0.005,0.08,0.32,512,522,64,8,18,blueYellowCompetition,0.95,0.000000,1,1,1,,0,0,
