corpus,charset,arm,cells,glyphs,distinct_glyphs,largest_glyph_share,candidate_churn,mean_mae,mean_gmsd,selection_wall_seconds,time_ratio_to_p,estimated_peak_selector_bytes,git_sha
nasa-structure-v1,blocks,P,8640,8,3,0.98796296,0.00000000,0.45439927,0.28259742,0.002196,1.0000,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,blocks,A,8640,8,8,0.71909722,0.94965278,0.22368762,0.21882827,0.028416,12.9403,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,blocks,S1,8640,8,8,0.67638889,0.94965278,0.22390541,0.22146471,0.295120,134.3923,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,blocks,TF,8640,8,8,0.65243056,0.93807870,0.25530408,0.21516817,0.075558,34.4076,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,standard,P,8640,95,15,0.36863426,0.00000000,0.24974509,0.23201957,0.006541,1.0000,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,standard,A,8640,95,59,0.56041667,0.75625000,0.23782430,0.22388191,0.300249,45.9059,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,standard,S1,8640,95,59,0.37037037,0.75879630,0.23955318,0.22907883,3.062842,468.2857,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-structure-v1,standard,TF,8640,95,86,0.46157407,0.79814815,0.25253350,0.21180679,0.690459,105.5661,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,blocks,P,8640,8,1,1.00000000,0.00000000,0.45571836,0.31736378,0.001408,1.0000,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,blocks,A,8640,8,4,0.58645833,1.00000000,0.21414222,0.19788194,0.024821,17.6283,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,blocks,S1,8640,8,4,0.55983796,1.00000000,0.21422361,0.19827965,0.253462,180.0155,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,blocks,TF,8640,8,7,0.89259259,0.95902778,0.24618430,0.17174476,0.059240,42.0741,89856,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,standard,P,8640,95,11,0.38819444,0.00000000,0.24003675,0.19481841,0.006604,1.0000,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,standard,A,8640,95,32,0.52175926,0.60937500,0.23125708,0.19957935,0.297943,45.1184,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,standard,S1,8640,95,27,0.42118056,0.61157407,0.23212589,0.19956594,3.177590,481.1919,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
nasa-steerable-v1,standard,TF,8640,95,73,0.74074074,0.64386574,0.24672234,0.17199176,0.687756,104.1489,290304,78cd3d4441e23de7608efa0b8644123ec0c83741
